Date,Open,High,Low,Close,Volume
05/09/2025,"117.35","118.23","115.21","116.65","132,972,203"
05/08/2025,"118.25","118.68","115.85","117.37","198,428,094"
05/07/2025,"113.05","117.68","112.28","117.06","207,827,812"
05/06/2025,"111.48","114.74","110.82","113.54","158,525,594"
05/05/2025,"112.91","114.67","112.66","113.82","133,163,203"
05/02/2025,"114.18","115.40","113.37","114.50","190,194,797"
05/01/2025,"113.08","114.94","111.30","111.61","236,121,500"
04/30/2025,"104.47","108.92","104.08","108.92","235,044,609"
04/29/2025,"107.67","110.20","107.44","109.02","170,444,297"
04/28/2025,"109.69","110.37","106.02","108.73","207,708,500"
04/25/2025,"106.85","111.92","105.73","111.01","251,064,703"
04/24/2025,"103.48","106.54","103.11","106.43","220,815,016"
04/23/2025,"104.52","104.80","102.02","102.71","247,526,000"
04/22/2025,"98.78","99.81","97.28","98.89","241,004,797"
04/21/2025,"98.77","99.44","95.04","96.91","288,501,094"
04/17/2025,"104.45","104.47","100.05","101.49","292,517,500"
04/16/2025,"104.55","106.79","100.45","104.49","397,016,906"
04/15/2025,"110.97","113.62","110.50","112.20","228,966,891"
04/14/2025,"114.11","114.29","109.07","110.71","264,705,000"
04/11/2025,"108.50","111.55","107.48","110.93","313,417,312"
04/10/2025,"109.37","110.86","99.15","107.57","437,812,406"
04/09/2025,"98.89","115.10","97.53","114.33","612,918,250"
