Date,Headline,FinBERT_Label,Manual_Label
30/04/2025,The One AI Stock You Should Not Buy,neutral,negative
24/04/2025,This Key Risk Could Trigger a Double-Digit Nvidia Stock Plunge,negative,negative
10/05/2025,Cathie Wood Goes Bargain Hunting. 1 Dirt Cheap Artificial Intelligence (AI) Chip Stock She Just Bought (Hint: It's Not Nvidia),neutral,negative
24/04/2025,SK hynix posts record profits thanks to strong AI demand,positive,positive
06/05/2025,US stocks sink again as more companies detail damage they're taking because of Trump's trade war,negative,negative
06/05/2025,"AMD to report Q1 earnings as AI, tariffs remain in focus",positive,neutral
06/05/2025,"Grant Cardone Says, 'America About To Have Greatest Resurgence In Its 250-Year History,' Thanks Trump For Encouraging Big Tech To Come Home",positive,positive
24/04/2025,Bank Stocks Are Rising Again. Now Isn’t the Time to Buy,negative,negative
18/04/2025,RBC Bearings (RBC) Surged on Strong Financial Results,positive,positive
18/04/2025,Commentary: Nvidia chips don’t belong on the bargaining table,neutral,positive
24/04/2025,Should You Forget Nvidia and Buy These 2 Millionaire-Maker AI Stocks Instead?,neutral,negative
06/05/2025,Super Micro forecasts fourth-quarter revenue below estimates; shares fall,negative,positive
30/04/2025,"Meta Jumps As Advertising, AI Spending Defy Tariff Concerns",positive,positive
24/04/2025,5 Top Stocks To Buy Now For May 2025,neutral,neutral
30/04/2025,"Closing Bell Movers: Snap falls 14% after Q1 results, no guidance",negative,negative
18/04/2025,Razer Is Back to Selling One of Its Laptops Despite Tariffs,neutral,neutral
24/04/2025,Q1 2025 earnings call: CEO’s remarks,neutral,neutral
18/04/2025,"TAO crypto soars 12%, FET crypto up 10%: 2 reasons why AI coins have revived",positive,positive
10/05/2025,"Got $3,000? 2 Artificial Intelligence (AI) Stocks to Buy and Hold for the Long Term",neutral,neutral
06/05/2025,"Nvidia, Broadcom Lead Fund Manager Buys Even As Semiconductor Sector Cools: Analysts",positive,positive
30/04/2025,Still no US-China talks; Disappointing April data; Private enterprise law passes; Miao Hua; Xi on 15th Five-Year Plan; New white paper on Covid-19,neutral,neutral
06/05/2025,Nvidia CEO Jensen Huang says dropping chip restrictions would bring jobs to the US,positive,positive
06/05/2025,U.S. stocks drop on concerns over trade tensions,negative,negative
18/04/2025,FTAI Aviation Ltd. (FTAI) Slid After a Short-Seller Report,negative,negative
24/04/2025,Private Lenders in Europe Want In on the ‘Sell America’ Movement,neutral,neutral
24/04/2025,Here's What to Expect From Automatic Data Processing's Next Earnings Report,neutral,neutral
18/04/2025,"Tech Earnings Have Good News for Chip Stocks, So Far. And 1 Warning",positive,positive
06/05/2025,How to Deploy Qwen-3 on DigitalOcean GPU Droplets,neutral,neutral
18/04/2025,"Surge of Investment Fuels Wave of Facility Construction, Expansion Across U.S.",positive,positive
06/05/2025,DigitalOcean shares drop after strong first quarter,negative,positive
