Date,Stock,Source,Headline,URL,Clean_Headline,FinBERT_Label,FinBERT_Score,Sentiment_Class
2025-04-18,Nvidia,CNA,Commentary: Nvidia chips don’t belong on the bargaining table,https://www.channelnewsasia.com/commentary/nvidia-chips-trump-tariffs-china-trade-war-ai-5073861,commentary nvidia chips dont belong on the bargaining table,neutral,0.8780543208122253,neutral
2025-04-18,Nvidia,Bangkok Post,Stocks make small gains amid trade talk hope,https://www.bangkokpost.com/business/general/3006291/stocks-make-small-gains-amid-trade-talk-hope,stocks make small gains amid trade talk hope,positive,0.454646497964859,bullish
2025-04-18,Nvidia,Yahoo Entertainment,Trump Blinks: Tariff Retreat Sends Markets Soaring--TikTok Deal Now a Bargaining Chip,https://finance.yahoo.com/news/trump-blinks-tariff-retreat-sends-183948289.html,trump blinks tariff retreat sends markets soaringtiktok deal now a bargaining chip,neutral,0.5618546009063721,neutral
2025-04-18,Nvidia,CNET,Razer Is Once Again Selling at Least One of Its Laptops Despite Tariffs,https://www.cnet.com/tech/gaming/razer-is-back-to-selling-one-of-its-laptops-despite-tarrifs/,razer is once again selling at least one of its laptops despite tariffs,positive,0.5519540309906006,bullish
2025-04-18,Nvidia,CNET,Razer Is Back to Selling One of Its Laptops Despite Tariffs,https://www.cnet.com/tech/gaming/razer-is-back-to-selling-one-of-its-laptops-despite-tariffs/,razer is back to selling one of its laptops despite tariffs,neutral,0.7678695917129517,neutral
2025-04-18,Nvidia,Biztoc.com,’s Growth Outlook Adjusted by UBS Over China Export Restrictions,https://biztoc.com/x/38c7b6fcec34e98c,s growth outlook adjusted by ubs over china export restrictions,neutral,0.6521304249763489,neutral
2025-04-18,Nvidia,PR Newswire UK,Large Language Model Operationalization (LLMOps) Software Market Set for Explosive 21.3% CAGR Growth | Valuates Reports,https://www.prnewswire.co.uk/news-releases/large-language-model-operationalization-llmops-software-market-set-for-explosive-21-3-cagr-growth--valuates-reports-302432538.html,large language model operationalization llmops software market set for explosive 213 cagr growth valuates reports,positive,0.9505379796028137,bullish
2025-04-18,Nvidia,Yahoo Entertainment,NVIDIA Corporation (NVDA)’s Growth Outlook Adjusted by UBS Over China Export Restrictions,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1623afea-5aa0-4a4a-966b-744655f0f2ce,nvidia corporation nvdas growth outlook adjusted by ubs over china export restrictions,neutral,0.7142608165740967,neutral
2025-04-18,Nvidia,Biztoc.com,Evaluating NVIDIA Against Peers In Semiconductors & Semiconductor Equipment Industry,https://biztoc.com/x/0e9596054e7e579e,evaluating nvidia against peers in semiconductors semiconductor equipment industry,positive,0.5831013321876526,bullish
2025-04-18,Nvidia,Biztoc.com,"Tech Earnings Have Good News for Chip Stocks, So Far. And 1 Warning",https://biztoc.com/x/5987ebb304b19718,tech earnings have good news for chip stocks so far and 1 warning,positive,0.9502183198928833,bullish
