Source,Stock,Headline,URL,Sentiment
Finextra,Apple,FCA and PSR assesses the usage and impact of digital wallets,https://www.finextra.com/pressarticle/104434/fca-and-psr-assesses-the-usage-and-impact-of-digital-wallets,
PhoneArena,Apple,"Unbeatable deal slashes 56% off the Apple Watch Series 8 with LTE, making it absolute necessity",https://www.phonearena.com/news/apple-watch-series-8-56-percent-off-woot-offer_id167745,
Gadgets360.com,Apple,"iPhone 17, iPhone 17 Pro Models Could Feature Aluminium Frame Unlike iPhone 17 Air: Report",https://www.gadgets360.com/mobiles/news/iphone-17-pro-aluminium-frame-air-titanium-build-report-7745892,
Macworld,Apple,Could Apple take on Nvidia with a standalone graphics card?,https://www.macworld.com/article/2588395/why-isnt-apple-cashing-in-on-the-graphics-card-craze.html,
Slate Magazine,Apple,A Measles Outbreak and Wake-Up Call,https://slate.com/podcasts/what-next/2025/02/why-measles-is-breaking-out-in-texas,
Geeky Gadgets,Apple,Will the M4 MacBook Air Launch Today?,https://www.geeky-gadgets.com/will-the-m4-macbook-air-launch-today/,
Gizchina.com,Apple,Apple Stops Signing iOS 18.3: What It Means for Users,https://www.gizchina.com/2025/02/19/apple-stops-signing-ios-18-3-what-it-means-for-users/,
ETF Daily News,Apple,Top Large Cap Stocks To Research – February 17th,https://www.etfdailynews.com/2025/02/19/top-large-cap-stocks-to-research-february-17th/,
Aaronland.info,Microsoft,[this is aaronland] a tale of gummy snakes (and spunk),https://www.aaronland.info/weblog/2025/02/13/gummy/#fact-2025-040,
Thedividendguyblog.com,Microsoft,Should You Invest Like Billionaires? [Podcast],https://thedividendguyblog.com/should-you-invest-like-billionaires/,
Android Authority,Microsoft,This open-source tool can activate practically every Windows and Office release,https://www.androidauthority.com/mas-activate-windows-office-v3-tsforge-3527610/,
Wccftech,Microsoft,Tony Hawk’s Pro Skater 3+4 Remaster Supposedly Being Shadow Dropped at Xbox Game Showcase in June,https://wccftech.com/tony-hawks-pro-skater-34-remaster-supposedly-being-shadow-dropped-at-xbox-game-showcase-in-june/,
Theregister.com,Microsoft,Microsoft declutters Windows 11 File Explorer in the name of Euro privacy,https://www.theregister.com/2025/02/19/windows_11_24h2_preview/,
The Times of India,Microsoft,"'Where are the aliens?': Elon Musk explains Grok 3 mission, says xAI wants to answer the biggest questions",https://economictimes.indiatimes.com/news/international/global-trends/us-news-elon-musk-grok-3-xai-where-are-the-aliens-elon-musk-explains-grok-3-mission-says-xai-wants-to-answer-the-biggest-questions/articleshow/118385354.cms,
Business Insider,Microsoft,Bosses are running low on empathy and cutting poor performers — so it might be time to work harder,https://www.businessinsider.com/job-cuts-poor-performers-workers-steps-protect-roles-suzanne-lucas-2025-2,
ETF Daily News,Microsoft,Top Large Cap Stocks To Research – February 17th,https://www.etfdailynews.com/2025/02/19/top-large-cap-stocks-to-research-february-17th/,
Slashdot.org,Microsoft,Microsoft Reminds Admins To Prepare For WSUS Driver Sync Deprecation,https://tech.slashdot.org/story/25/02/19/055211/microsoft-reminds-admins-to-prepare-for-wsus-driver-sync-deprecation,
Aps.org,Microsoft,Postdoc Publications Linked to Subsequent Academic Success,https://physics.aps.org/articles/v18/34,
ComputerWeekly.com,Nvidia,Budget flexibility for on-prem AI,https://www.computerweekly.com/blog/Cliff-Sarans-Enterprise-blog/Budget-flexibility-for-on-prem-AI,
TechRadar,Nvidia,"Watch out, Nvidia – AMD’s rumored to have a plan to unleash RX 9070 reviews to run interference with RTX 5070 GPU’s big launch day",https://www.techradar.com/computing/gpu/watch-out-nvidia-amds-rumored-to-have-a-plan-to-unleash-rx-9070-reviews-to-run-interference-with-rtx-5070-gpus-big-launch-day,
Macworld,Nvidia,Could Apple take on Nvidia with a standalone graphics card?,https://www.macworld.com/article/2588395/why-isnt-apple-cashing-in-on-the-graphics-card-craze.html,
The Times of India,Nvidia,"'Where are the aliens?': Elon Musk explains Grok 3 mission, says xAI wants to answer the biggest questions",https://economictimes.indiatimes.com/news/international/global-trends/us-news-elon-musk-grok-3-xai-where-are-the-aliens-elon-musk-explains-grok-3-mission-says-xai-wants-to-answer-the-biggest-questions/articleshow/118385354.cms,
Neowin,Nvidia,Perplexity releases open-source R1 1776 reasoning model without China censorship,https://www.neowin.net/news/perplexity-releases-open-source-r1-1776-reasoning-model-without-china-censorship/,
ETF Daily News,Nvidia,Automotive Stocks To Watch Today – February 16th,https://www.etfdailynews.com/2025/02/19/automotive-stocks-to-watch-today-february-16th/,
ETF Daily News,Nvidia,Top Large Cap Stocks To Research – February 17th,https://www.etfdailynews.com/2025/02/19/top-large-cap-stocks-to-research-february-17th/,
Thefly.com,Nvidia,Mercurity forms subsidiary to make liquid cooling solutions for Nvidia GPUs,https://thefly.com/permalinks/entry.php/id4073289/MFH;NVDA-Mercurity-forms-subsidiary-to-make-liquid-cooling-solutions-for-Nvidia-GPUs,
ETF Daily News,Nvidia,Precedent Wealth Partners LLC Sells 93 Shares of NVIDIA Co. (NASDAQ:NVDA),https://www.etfdailynews.com/2025/02/19/precedent-wealth-partners-llc-sells-93-shares-of-nvidia-co-nasdaqnvda/,
ETF Daily News,Nvidia,Affiance Financial LLC Acquires 838 Shares of NVIDIA Co. (NASDAQ:NVDA),https://www.etfdailynews.com/2025/02/19/affiance-financial-llc-acquires-838-shares-of-nvidia-co-nasdaqnvda/,
ETF Daily News,JPMorgan,KeyCorp (NYSE:KEY) Shares Sold by New Mexico Educational Retirement Board,https://www.etfdailynews.com/2025/02/19/keycorp-nysekey-shares-sold-by-new-mexico-educational-retirement-board/,
ETF Daily News,JPMorgan,Gentex Co. (NASDAQ:GNTX) Position Lessened by Blue Trust Inc.,https://www.etfdailynews.com/2025/02/19/gentex-co-nasdaqgntx-position-lessened-by-blue-trust-inc/,
ETF Daily News,JPMorgan,Venture Global (NYSE:VG) Coverage Initiated at The Goldman Sachs Group,https://www.etfdailynews.com/2025/02/19/venture-global-nysevg-coverage-initiated-at-the-goldman-sachs-group/,
ETF Daily News,JPMorgan,"Blue Trust Inc. Purchases 4,306 Shares of Yum China Holdings, Inc. (NYSE:YUMC)",https://www.etfdailynews.com/2025/02/19/blue-trust-inc-purchases-4306-shares-of-yum-china-holdings-inc-nyseyumc/,
Thefly.com,JPMorgan,"EVgo price target lowered by $1 at JPMorgan, here's why",https://thefly.com/permalinks/entry.php/id4073331/EVGO-EVgo-price-target-lowered-by--at-JPMorgan-heres-why,
Thefly.com,JPMorgan,"Wix.com price target lowered by $16 at JPMorgan, here's why",https://thefly.com/permalinks/entry.php/id4073329/WIX-Wixcom-price-target-lowered-by--at-JPMorgan-heres-why,
ETF Daily News,JPMorgan,Asset Management One Co. Ltd. Has $5.56 Million Stock Position in Tanger Inc. (NYSE:SKT),https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-has-5-56-million-stock-position-in-tanger-inc-nyseskt/,
ETF Daily News,JPMorgan,Chevy Chase Trust Holdings LLC Reduces Holdings in Federal Realty Investment Trust (NYSE:FRT),https://www.etfdailynews.com/2025/02/19/chevy-chase-trust-holdings-llc-reduces-holdings-in-federal-realty-investment-trust-nysefrt/,
ETF Daily News,JPMorgan,Asset Management One Co. Ltd. Boosts Holdings in BioMarin Pharmaceutical Inc. (NASDAQ:BMRN),https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-boosts-holdings-in-biomarin-pharmaceutical-inc-nasdaqbmrn/,
ETF Daily News,JPMorgan,"Charles River Laboratories International, Inc. (NYSE:CRL) Shares Sold by New York State Teachers Retirement System",https://www.etfdailynews.com/2025/02/19/charles-river-laboratories-international-inc-nysecrl-shares-sold-by-new-york-state-teachers-retirement-system/,
ETF Daily News,Goldman Sachs,KeyCorp (NYSE:KEY) Shares Sold by New Mexico Educational Retirement Board,https://www.etfdailynews.com/2025/02/19/keycorp-nysekey-shares-sold-by-new-mexico-educational-retirement-board/,
ETF Daily News,Goldman Sachs,Venture Global (NYSE:VG) Coverage Initiated at The Goldman Sachs Group,https://www.etfdailynews.com/2025/02/19/venture-global-nysevg-coverage-initiated-at-the-goldman-sachs-group/,
ETF Daily News,Goldman Sachs,Asset Management One Co. Ltd. Has $5.56 Million Stock Position in Tanger Inc. (NYSE:SKT),https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-has-5-56-million-stock-position-in-tanger-inc-nyseskt/,
ETF Daily News,Goldman Sachs,"Charles River Laboratories International, Inc. (NYSE:CRL) Shares Sold by New York State Teachers Retirement System",https://www.etfdailynews.com/2025/02/19/charles-river-laboratories-international-inc-nysecrl-shares-sold-by-new-york-state-teachers-retirement-system/,
ETF Daily News,Goldman Sachs,"Asset Management One Co. Ltd. Has $6.58 Million Position in Steel Dynamics, Inc. (NASDAQ:STLD)",https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-has-6-58-million-position-in-steel-dynamics-inc-nasdaqstld/,
ETF Daily News,Goldman Sachs,Asset Management One Co. Ltd. Lowers Stock Holdings in AerCap Holdings (NYSE:AER),https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-lowers-stock-holdings-in-aercap-holdings-nyseaer/,
CNET,Goldman Sachs,"High APYs Hold On -- for Now. Today's CD Rates, Feb. 19, 2025",https://www.cnet.com/personal-finance/banking/high-apys-hold-on-for-now-todays-cd-rates-feb-19-2025/,
ETF Daily News,Goldman Sachs,"Fortune Brands Innovations, Inc. (NYSE:FBIN) Stock Position Lifted by Savant Capital LLC",https://www.etfdailynews.com/2025/02/19/fortune-brands-innovations-inc-nysefbin-stock-position-lifted-by-savant-capital-llc/,
ETF Daily News,Goldman Sachs,Alliance Wealth Advisors LLC Sells 64 Shares of Alphabet Inc. (NASDAQ:GOOGL),https://www.etfdailynews.com/2025/02/19/alliance-wealth-advisors-llc-sells-64-shares-of-alphabet-inc-nasdaqgoogl/,
ETF Daily News,Goldman Sachs,Investment Advisory Services Inc. TX ADV Purchases 254 Shares of Alphabet Inc. (NASDAQ:GOOGL),https://www.etfdailynews.com/2025/02/19/investment-advisory-services-inc-tx-adv-purchases-254-shares-of-alphabet-inc-nasdaqgoogl/,
USA Today,ExxonMobil,"How to Watch Hamad Medjedovic vs. Felix Auger-Aliassime at the 2025 Qatar ExxonMobil Open: Live Stream, TV Channel",https://ftw.usatoday.com/article/how-to-watch-hamad-medjedovic-vs-felix-auger-aliassime-at-the-2025-qatar-exxonmobil-open-live-stream-tv-channel,
USA Today,ExxonMobil,"How to Watch Matteo Berrettini vs. Tallon Griekspoor at the 2025 Qatar ExxonMobil Open: Live Stream, TV Channel",https://ftw.usatoday.com/article/how-to-watch-matteo-berrettini-vs-tallon-griekspoor-at-the-2025-qatar-exxonmobil-open-live-stream-tv-channel,
Wnd.com,ExxonMobil,Musk’s money sleuths making Democrats sweat,https://www.wnd.com/2025/02/musks-money-sleuths-making-democrats-sweat/,
Common Dreams,ExxonMobil,Minnesota Lawsuit Against Big Oil Moves Closer to Trial,https://www.commondreams.org/newswire/minnesota-lawsuit-against-big-oil-moves-closer-to-trial,
RT,ExxonMobil,West should repair oil infrastructure damaged by Ukraine – Putin,https://www.rt.com/russia/612984-west-repair-infrastructure-damage-ukraine/,
USA Today,ExxonMobil,"How to Watch Andrey Rublev vs. Nuno Borges at the 2025 Qatar ExxonMobil Open: Live Stream, TV Channel",https://ftw.usatoday.com/article/how-to-watch-andrey-rublev-vs-nuno-borges-at-the-2025-qatar-exxonmobil-open-live-stream-tv-channel,
USA Today,ExxonMobil,"How to Watch Zizou Bergs vs. Daniil Medvedev at the 2025 Qatar ExxonMobil Open: Live Stream, TV Channel",https://ftw.usatoday.com/article/how-to-watch-zizou-bergs-vs-daniil-medvedev-at-the-2025-qatar-exxonmobil-open-live-stream-tv-channel,
USA Today,ExxonMobil,"How to Watch Botic Van de Zandschulp vs. Alex de Minaur at the 2025 Qatar ExxonMobil Open: Live Stream, TV Channel",https://ftw.usatoday.com/article/how-to-watch-botic-van-de-zandschulp-vs-alex-de-minaur-at-the-2025-qatar-exxonmobil-open-live-stream-tv-channel,
USA Today,ExxonMobil,"How to Watch Carlos Alcaraz vs. Luca Nardi at the 2025 Qatar ExxonMobil Open: Live Stream, TV Channel",https://ftw.usatoday.com/article/how-to-watch-carlos-alcaraz-vs-luca-nardi-at-the-2025-qatar-exxonmobil-open-live-stream-tv-channel,
POLITICO.eu,ExxonMobil,Russia and US eye joint Arctic energy projects after Saudi talks,https://www.politico.eu/article/russia-us-saudi-arctic-energy-rdif-ukraine-russia-capital/,
Rigzone,Chevron,What Trends Will Shape Oil and Gas Hiring In 2025?,https://www.rigzone.com/news/what_trends_will_shape_oil_and_gas_hiring_in_2025-19-feb-2025-179674-article/,
Newsweek,Chevron,Why KFC Is Moving to Texas,https://www.newsweek.com/why-kfc-moving-texas-2033038,
Naturalnews.com,Chevron,“The Rise of Tyranny”: How the erosion of separation of powers threatens American democracy,https://www.naturalnews.com/2025-02-19-erosion-separation-of-powers-threatens-american-democracy.html,
Protothema.gr,Chevron,"From rolling suitcases to the Christian Taliban, VDL’s jabs at Macron, the plus reshuffle, Dreyfus and Savvidis, and the digital Holy Business",https://en.protothema.gr/2025/02/19/from-rolling-suitcases-to-the-christian-taliban-vdls-jabs-at-macron-the-plus-reshuffle-dreyfus-and-savvidis-and-the-digital-holy-business/,
Ahouseinthehills.com,Chevron,21 Stunning Design Ideas for a Living Room Shiplap Ceiling,https://ahouseinthehills.com/stunning-design-ideas-for-a-living-room-shiplap-ceiling/,
BusinessLine,Chevron,Crude oil futures rise marginally due to supply disruptions,https://www.thehindubusinessline.com/markets/commodities/crude-oil-futures-rise-marginally-due-to-supply-disruptions/article69236788.ece,
VOA News,Chevron,Ukrainian drone hits oil pumping station,https://www.voanews.com/a/ukrainian-drone-hits-oil-pumping-station/7980173.html,
BusinessLine,Chevron,Share Market Live Updates 19 January 2025: Stock to buy today: Jubilant FoodWorks (₹693) – BUY,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-19-february-2025/article69234539.ece,
BusinessLine,Chevron,"Stock Market Highlights 19 February 2025: Sensex, Nifty close flat",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-updates-19-february-2025/article69234539.ece,
Financial Post,Chevron,Oil Steadies After Gain With OPEC+ and Russian Supply in Focus,https://financialpost.com/pmn/business-pmn/oil-steadies-after-gain-with-opec-and-russian-supply-in-focus,
Realinvestmentadvice.com,S&P 500,Gold Is Getting Ahead Of Itself,https://realinvestmentadvice.com/resources/blog/gold-is-getting-ahead-of-itself/,
ETF Daily News,S&P 500,"New Mexico Educational Retirement Board Has $592,000 Holdings in Camden Property Trust (NYSE:CPT)",https://www.etfdailynews.com/2025/02/19/new-mexico-educational-retirement-board-has-592000-holdings-in-camden-property-trust-nysecpt/,
ETF Daily News,S&P 500,Vontobel Holding Ltd. Has $1.16 Million Stock Position in Corning Incorporated (NYSE:GLW),https://www.etfdailynews.com/2025/02/19/vontobel-holding-ltd-has-1-16-million-stock-position-in-corning-incorporated-nyseglw/,
ETF Daily News,S&P 500,Camden Property Trust (NYSE:CPT) Shares Sold by Louisiana State Employees Retirement System,https://www.etfdailynews.com/2025/02/19/camden-property-trust-nysecpt-shares-sold-by-louisiana-state-employees-retirement-system/,
ETF Daily News,S&P 500,Savant Capital LLC Boosts Stake in Invesco S&P 500 Low Volatility ETF (NYSEARCA:SPLV),https://www.etfdailynews.com/2025/02/19/savant-capital-llc-boosts-stake-in-invesco-sp-500-low-volatility-etf-nysearcasplv/,
ETF Daily News,S&P 500,"Savant Capital LLC Has $277,000 Holdings in iShares Global Healthcare ETF (NYSEARCA:IXJ)",https://www.etfdailynews.com/2025/02/19/savant-capital-llc-has-277000-holdings-in-ishares-global-healthcare-etf-nysearcaixj/,
ETF Daily News,S&P 500,"Vontobel Holding Ltd. Has $992,000 Stock Holdings in Ventas, Inc. (NYSE:VTR)",https://www.etfdailynews.com/2025/02/19/vontobel-holding-ltd-has-992000-stock-holdings-in-ventas-inc-nysevtr/,
ETF Daily News,S&P 500,"Blue Trust Inc. Sells 1,221 Shares of Webster Financial Co. (NYSE:WBS)",https://www.etfdailynews.com/2025/02/19/blue-trust-inc-sells-1221-shares-of-webster-financial-co-nysewbs/,
ETF Daily News,S&P 500,Head to Head Comparison: Magnera (MAGN) and The Competition,https://www.etfdailynews.com/2025/02/19/head-to-head-comparison-magnera-magn-and-the-competition-2/,
ETF Daily News,S&P 500,Financial Analysis: Green Thumb Industries (GTBIF) vs. Its Rivals,https://www.etfdailynews.com/2025/02/19/financial-analysis-green-thumb-industries-gtbif-vs-its-rivals/,
ETF Daily News,Nasdaq,"Asset Management One Co. Ltd. Takes $5.57 Million Position in Nutanix, Inc. (NASDAQ:NTNX)",https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-takes-5-57-million-position-in-nutanix-inc-nasdaqntnx/,
ETF Daily News,Nasdaq,"Asset Management One Co. Ltd. Has $6.58 Million Position in Steel Dynamics, Inc. (NASDAQ:STLD)",https://www.etfdailynews.com/2025/02/19/asset-management-one-co-ltd-has-6-58-million-position-in-steel-dynamics-inc-nasdaqstld/,
ETF Daily News,Nasdaq,"New York State Teachers Retirement System Reduces Position in Sarepta Therapeutics, Inc. (NASDAQ:SRPT)",https://www.etfdailynews.com/2025/02/19/new-york-state-teachers-retirement-system-reduces-position-in-sarepta-therapeutics-inc-nasdaqsrpt/,
ETF Daily News,Nasdaq,"Van ECK Associates Corp Has $4.47 Million Position in Sterling Infrastructure, Inc. (NASDAQ:STRL)",https://www.etfdailynews.com/2025/02/19/van-eck-associates-corp-has-4-47-million-position-in-sterling-infrastructure-inc-nasdaqstrl/,
ETF Daily News,Nasdaq,"Nations Financial Group Inc. IA ADV Sells 3,716 Shares of Xcel Energy Inc. (NASDAQ:XEL)",https://www.etfdailynews.com/2025/02/19/nations-financial-group-inc-ia-adv-sells-3716-shares-of-xcel-energy-inc-nasdaqxel/,
ETF Daily News,Nasdaq,"Savant Capital LLC Invests $231,000 in Eagle Bancorp, Inc. (NASDAQ:EGBN)",https://www.etfdailynews.com/2025/02/19/savant-capital-llc-invests-231000-in-eagle-bancorp-inc-nasdaqegbn/,
ETF Daily News,Nasdaq,Promising Energy Stocks To Keep An Eye On – February 16th,https://www.etfdailynews.com/2025/02/19/promising-energy-stocks-to-keep-an-eye-on-february-16th/,
ETF Daily News,Nasdaq,"Align Technology, Inc. (NASDAQ:ALGN) Shares Sold by New Mexico Educational Retirement Board",https://www.etfdailynews.com/2025/02/19/align-technology-inc-nasdaqalgn-shares-sold-by-new-mexico-educational-retirement-board/,
ETF Daily News,Nasdaq,Top Large Cap Stocks To Research – February 17th,https://www.etfdailynews.com/2025/02/19/top-large-cap-stocks-to-research-february-17th/,
ETF Daily News,Nasdaq,New York State Teachers Retirement System Cuts Position in Bio-Techne Co. (NASDAQ:TECH),https://www.etfdailynews.com/2025/02/19/new-york-state-teachers-retirement-system-cuts-position-in-bio-techne-co-nasdaqtech/,
ETF Daily News,Dow Jones,Louisiana State Employees Retirement System Lowers Position in News Co. (NASDAQ:NWSA),https://www.etfdailynews.com/2025/02/19/louisiana-state-employees-retirement-system-lowers-position-in-news-co-nasdaqnwsa/,
ETF Daily News,Dow Jones,"Nations Financial Group Inc. IA ADV Has $306,000 Position in iShares U.S. Transportation ETF (BATS:IYT)",https://www.etfdailynews.com/2025/02/19/nations-financial-group-inc-ia-adv-has-306000-position-in-ishares-u-s-transportation-etf-batsiyt/,
ETF Daily News,Dow Jones,Schwab US Large-Cap ETF (NYSEARCA:SCHX) Shares Acquired by Nations Financial Group Inc. IA ADV,https://www.etfdailynews.com/2025/02/19/schwab-us-large-cap-etf-nysearcaschx-shares-acquired-by-nations-financial-group-inc-ia-adv/,
ETF Daily News,Dow Jones,"Nations Financial Group Inc. IA ADV Takes $200,000 Position in First Trust Dow 30 Equal Weight ETF (NYSEARCA:EDOW)",https://www.etfdailynews.com/2025/02/19/nations-financial-group-inc-ia-adv-takes-200000-position-in-first-trust-dow-30-equal-weight-etf-nysearcaedow/,
ETF Daily News,Dow Jones,"Savant Capital LLC Sells 1,020 Shares of Schwab U.S. REIT ETF (NYSEARCA:SCHH)",https://www.etfdailynews.com/2025/02/19/savant-capital-llc-sells-1020-shares-of-schwab-u-s-reit-etf-nysearcaschh/,
ETF Daily News,Dow Jones,"New Mexico Educational Retirement Board Has $496,000 Stock Position in News Co. (NASDAQ:NWSA)",https://www.etfdailynews.com/2025/02/19/new-mexico-educational-retirement-board-has-496000-stock-position-in-news-co-nasdaqnwsa/,
ETF Daily News,Dow Jones,"Empowered Funds LLC Makes New $557,000 Investment in Schwab U.S. Large-Cap Growth ETF (NYSEARCA:SCHG)",https://www.etfdailynews.com/2025/02/19/empowered-funds-llc-makes-new-557000-investment-in-schwab-u-s-large-cap-growth-etf-nysearcaschg/,
ETF Daily News,Dow Jones,"Valeo Financial Advisors LLC Sells 1,367 Shares of iShares International Select Dividend ETF (BATS:IDV)",https://www.etfdailynews.com/2025/02/19/valeo-financial-advisors-llc-sells-1367-shares-of-ishares-international-select-dividend-etf-batsidv/,
ETF Daily News,Dow Jones,News Co. (NASDAQ:NWS) Stock Position Reduced by Chevy Chase Trust Holdings LLC,https://www.etfdailynews.com/2025/02/19/news-co-nasdaqnws-stock-position-reduced-by-chevy-chase-trust-holdings-llc/,
Hospitality Net,Dow Jones,Providing Hospitality and Hope: Hilton Partners with American Express and 211 LA to Aid Los Angeles Wildfire Victims,https://www.hospitalitynet.org/news/4125905.html,
